"","Name","Country","Region","Winery","Rating","NumberOfRatings","Price","wine_type","Year1"
"157","Russian River Valley Zinfandel 2015","United States","Russian River Valley","DeLoach",3.5,105,18.49,"tinto","2015"
"158","Halkidiki Limnio - Merlot 2013","Greece","Chalkidiki","Tsantali",3.2,105,12.49,"tinto","2013"
"159","Pomerol 2015","France","Pomerol","Château l'Ecuyer",4.2,105,43.16,"tinto","2015"
"160","Toar Valpolicella Classico Superiore 2016","Italy","Valpolicella Classico","Masi",3.7,105,15.6,"tinto","2016"
"161","Arbòre Cannonau di Sardegna 2012","Italy","Cannonau di Sardegna","Gabbas",4,105,21.9,"tinto","2012"
"162","Ángeles de Amaren Tempranillo - Graciano 2015","Spain","Rioja","Bodegas Amaren",4.2,105,15.95,"tinto","2015"
"163","Barbera 2018","Italy","Piemonte","Serre dei Roveri",3.3,105,6.15,"tinto","2018"
"164","Amarone della Valpolicella 2006","Italy","Amarone della Valpolicella","Zýmē",4.5,105,96.9,"tinto","2006"
"165","Castillo de Jumilla Monastrell - Tempranillo 2018","Spain","Jumilla","Bleda",3.5,105,5.33,"tinto","2018"
"166","Hommage Lirac 2016","France","Lirac","Domaine Coudoulis",3.9,105,19.01,"tinto","2016"
"167","Poggio d'Arna Toscana 2014","Italy","Toscana","Tenuta di Sesta",3.6,105,12.9,"tinto","2014"
"168","Vinya Le Havre Reserva Cabernet Sauvignon 2013","Spain","Penedès","Jean Leon",4,105,25.75,"tinto","2013"
"169","Brunello di Montalcino 2014","Italy","Brunello di Montalcino","Tenute Silvio Nardi",3.8,105,32.75,"tinto","2014"
"170","Sor Ugo Bolgheri Superiore 2017","Italy","Bolgheri Superiore","Aia Vecchia",4.3,105,23.94,"tinto","2017"
"171","Ses Nines Negre 2018","Spain","Binissalem-Mallorca","Tianna Negre",3.8,105,11.25,"tinto","2018"
"172","Terrassen Zweigelt Blauer 2018","Austria","Wachau","Domäne Wachau",3.7,105,9.95,"tinto","2018"
"173","Rosso di Montalcino 2018","Italy","Rosso di Montalcino","Ciacci Piccolomini d'Aragona",4.1,105,16.47,"tinto","2018"
"174","Riva Ranch Pinot Noir (Reliz Creek) 2017","United States","Arroyo Seco","Wente",3.9,105,24.15,"tinto","2017"
"175","Altos R Tempranillo 2017","Spain","Rioja","Altos de Rioja",3.4,105,6.9,"tinto","2017"
